time,offered_load_mbps,accepted_load_mbps,capacity_sum_mbps,goodput_sum_mbps,served_step_mb,queue_sum,blocked_rate,blocked_queue_cap_rate,blocked_timeout_rate,acceptance_rate,service_rate,mean_served_delay_s,p95_served_delay_s,mean_timeout_delay_s,utilization,fairness
0.0,8.49106901919836,8.49106901919836,32.49433671701596,8.49106901919836,1.061383627399795,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.125,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,32.59872397612497,32.59872397612497,24.44751140943256,24.44751140943256,3.05593892617907,1,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.125,1.0
3.0,151.71607007124237,151.71607007124237,73.34253422829768,43.64868716953799,5.456085896192249,1,0.0,0.0,0.0,1.0,0.75,1.3333333333333333,2.0,0.0,0.375,0.9999999999999998
4.0,0.0,0.0,24.44751140943256,24.44751140943256,3.05593892617907,1,0.0,0.0,0.0,1.0,0.75,1.3333333333333333,2.0,0.0,0.125,1.0
5.0,0.0,0.0,24.44751140943256,24.44751140943256,3.05593892617907,1,0.0,0.0,0.0,1.0,0.75,1.3333333333333333,2.0,0.0,0.125,1.0
6.0,0.0,0.0,24.44751140943256,24.44751140943256,3.05593892617907,1,0.0,0.0,0.0,1.0,0.75,1.3333333333333333,2.0,0.0,0.125,1.0
7.0,44.842421554200385,44.842421554200385,83.74925823064521,69.28993296363295,8.661241620454119,1,0.0,0.0,0.0,1.0,0.8333333333333334,1.2,2.0,0.0,0.375,0.9923169970208441
8.0,110.60147362308483,110.60147362308483,52.18727771515613,46.16831613639009,5.771039517048761,1,0.0,0.0,0.0,1.0,0.8571428571428571,2.0,6.0,0.0,0.25,0.9960360090171374
9.0,0.0,0.0,27.632757346416348,27.632757346416348,3.4540946683020435,1,0.0,0.0,0.0,1.0,0.8571428571428571,2.0,6.0,0.0,0.125,1.0
10.0,0.0,0.0,27.52898525661728,27.52898525661728,3.44112315707716,1,0.0,0.0,0.0,1.0,0.8571428571428571,2.0,6.0,0.0,0.125,1.0
11.0,8.0,8.0,55.34635007944898,35.428306432037715,4.428538304004714,1,0.0,0.0,0.0,1.0,0.875,1.8571428571428572,6.0,0.0,0.25,0.9999217085672863
12.0,393.13418435360165,393.13418435360165,78.91030864290651,54.690542970701976,6.836317871337747,2,0.0,0.0,0.0,1.0,0.8,2.25,6.0,0.0,0.375,0.9890939628188323
13.0,0.0,0.0,57.7038854773419,57.7038854773419,7.212985684667737,2,0.0,0.0,0.0,1.0,0.8,2.25,6.0,0.0,0.25,0.9912147762106561
14.0,180.80479061277958,180.80479061277958,132.90513140548208,121.48309473392398,15.185386841740497,4,0.0,0.0,0.0,1.0,0.6923076923076923,2.111111111111111,6.0,0.0,0.625,0.993025486568789
15.0,0.0,0.0,107.41103437857066,61.81780087417671,7.727225109272089,2,0.0,0.0,0.0,1.0,0.8461538461538461,2.272727272727273,6.0,0.0,0.5,0.990249087438252
16.0,0.0,0.0,52.13148100631428,52.13148100631428,6.516435125789285,2,0.0,0.0,0.0,1.0,0.8461538461538461,2.272727272727273,6.0,0.0,0.25,0.9961605482581299
17.0,0.0,0.0,51.933626595742645,51.933626595742645,6.491703324467831,2,0.0,0.0,0.0,1.0,0.8461538461538461,2.272727272727273,6.0,0.0,0.25,0.9965883329336829
18.0,160.76668908643376,160.76668908643376,90.92796602175694,90.92796602175694,11.365995752719618,4,0.0,0.0,0.0,1.0,0.7333333333333333,2.272727272727273,6.0,0.0,0.5,0.9861998253594283
19.0,59.90778239508255,59.90778239508255,119.49678980059815,117.9370238382865,14.742127979785813,4,0.0,0.0,0.0,1.0,0.75,2.5833333333333335,6.0,0.0,0.625,0.9750841724737355
20.0,62.03449323944632,62.03449323944632,119.81953099172307,119.51368259435063,14.939210324293828,4,0.0,0.0,0.0,1.0,0.7647058823529411,2.5384615384615383,6.0,0.0,0.625,0.9868660685468496
21.0,107.99490590636722,107.99490590636722,119.41725563173352,100.63506986570428,12.579383733213035,5,0.0,0.0,0.0,1.0,0.7368421052631579,2.642857142857143,6.0,0.0,0.625,0.9870893292536963
22.0,0.0,0.0,99.43669216467715,90.27244122353359,11.284055152941699,3,0.0,0.0,0.0,1.0,0.8421052631578947,2.8125,6.0,0.0,0.5,0.989712542457675
23.0,0.0,0.0,78.97929575998452,45.86788867416758,5.733486084270948,0,0.0,0.0,0.0,1.0,1.0,3.3157894736842106,6.0,0.0,0.375,0.988487941856271
24.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.3157894736842106,6.0,0.0,0.0,0.0
25.0,11.56467384480571,11.56467384480571,31.48817294275839,11.56467384480571,1.4455842306007138,0,0.0,0.0,0.0,1.0,1.0,3.2,6.0,0.0,0.125,1.0
26.0,22.55310540835052,22.55310540835052,32.24436720382096,22.55310540835052,2.819138176043815,0,0.0,0.0,0.0,1.0,1.0,3.0952380952380953,6.0,0.0,0.125,1.0
27.0,84.90804126454009,84.90804126454009,28.295074914020553,28.295074914020553,3.536884364252569,1,0.0,0.0,0.0,1.0,0.9545454545454546,3.0952380952380953,6.0,0.0,0.125,1.0
28.0,0.0,0.0,28.529438635232435,28.529438635232435,3.5661798294040543,1,0.0,0.0,0.0,1.0,0.9545454545454546,3.0952380952380953,6.0,0.0,0.125,1.0
29.0,0.0,0.0,28.7678631815399,28.0835277152871,3.5104409644108876,0,0.0,0.0,0.0,1.0,1.0,3.090909090909091,6.0,0.0,0.125,1.0
30.0,112.83286826304952,112.83286826304952,52.82828204502457,35.67577523164317,4.4594719039553965,1,0.0,0.0,0.0,1.0,0.9583333333333334,3.0,6.0,0.0,0.25,0.9996171759878182
31.0,0.0,0.0,26.674257877442614,26.674257877442614,3.3342822346803267,1,0.0,0.0,0.0,1.0,0.9583333333333334,3.0,6.0,0.0,0.125,1.0
32.0,32.89971563469284,32.89971563469284,52.24783597822936,52.24783597822936,6.53097949727867,2,0.0,0.0,0.0,1.0,0.92,3.0,6.0,0.0,0.25,0.9907120467160744
33.0,9.844556212268206,9.844556212268206,51.73687505328077,27.588375127471572,3.4485468909339465,2,0.0,0.0,0.0,1.0,0.9230769230769231,2.9583333333333335,6.0,0.0,0.25,0.990551834551296
