time,offered_load_mbps,accepted_load_mbps,capacity_sum_mbps,goodput_sum_mbps,served_step_mb,queue_sum,blocked_rate,blocked_queue_cap_rate,blocked_timeout_rate,acceptance_rate,service_rate,mean_served_delay_s,p95_served_delay_s,mean_timeout_delay_s,utilization,fairness
0.0,812.302415951674,812.302415951674,119.6502428820987,119.6502428820987,14.956280360262337,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.625,0.9787275707434008
1.0,21.290989003551957,21.290989003551957,144.2986430440511,136.4854310760831,17.060678884510388,5,0.0,0.0,0.0,1.0,0.2857142857142857,1.5,2.0,0.0,0.75,0.9815424182901727
2.0,715.0111802581056,715.0111802581056,148.50760377636746,148.50760377636746,18.563450472045933,9,0.0,0.0,0.0,1.0,0.18181818181818182,1.5,2.0,0.0,0.75,0.9775467882143782
3.0,886.8273647310127,886.8273647310127,180.25472450260247,180.2547245026025,22.531840562825312,12,0.0,0.0,0.0,1.0,0.25,2.75,4.0,0.0,1.0,0.9553771353397496
4.0,1330.317589203043,1330.317589203043,168.04359911927446,168.04359911927446,21.005449889909308,19,0.0,0.0,0.0,1.0,0.17391304347826086,2.75,4.0,0.0,1.0,0.8303161756704109
5.0,848.9943962560267,848.9943962560267,165.9374482158833,165.9374482158833,20.742181026985413,24,0.0,0.0,0.0,1.0,0.14285714285714285,2.75,4.0,0.0,1.0,0.7928900578337192
6.0,575.483529000707,575.483529000707,170.24404634397393,170.24404634397396,21.280505792996745,27,0.0,0.0,0.0,1.0,0.18181818181818182,3.1666666666666665,5.0,0.0,1.0,0.8035451053957754
7.0,526.0841768918979,526.0841768918979,168.2327803981792,168.2327803981792,21.0290975497724,30,0.0,0.0,0.0,1.0,0.16666666666666666,3.1666666666666665,5.0,0.0,1.0,0.7561929735759949
8.0,937.0312925924603,937.0312925924603,158.1754845165143,158.17548451651433,19.77193556456429,31,0.0,0.0,0.0,1.0,0.20512820512820512,4.25,9.0,0.0,1.0,0.7044512573144347
9.0,768.2038449709936,768.2038449709936,156.09817272242947,154.62713916818768,19.32839239602346,32,0.0,0.0,0.0,1.0,0.2558139534883721,5.0,10.0,0.0,1.0,0.7087175910290275
10.0,858.4002437268691,858.4002437268691,165.10792411108758,165.10792411108756,20.638490513885944,36,0.0,0.0,0.0,1.0,0.23404255319148937,5.0,10.0,0.0,1.0,0.6996184332997439
11.0,1109.3408938256919,1109.3408938256919,157.36533529004706,157.36533529004708,19.670666911255886,40,0.0,0.0,0.0,1.0,0.21568627450980393,5.0,10.0,0.0,1.0,0.6472388993501578
12.0,59.04333694008927,59.04333694008927,155.99447278931734,155.99447278931734,19.499309098664668,40,0.0,0.0,0.0,1.0,0.24528301886792453,5.769230769230769,10.0,0.0,1.0,0.6735460387734296
13.0,909.2654378350007,909.2654378350007,149.83199007070155,149.83199007070155,18.728998758837694,46,0.0,0.0,0.0,1.0,0.22033898305084745,5.769230769230769,10.0,0.0,1.0,0.7105598143838012
14.0,1845.7863533478858,1845.7863533478858,155.5232599993933,155.5232599993933,19.440407499924163,53,0.0,0.0,0.0,1.0,0.208955223880597,6.285714285714286,11.0,0.0,1.0,0.7772820524628066
15.0,286.2613643888051,286.2613643888051,155.86137569993218,155.86137569993218,19.482671962491523,54,0.0,0.0,0.0,1.0,0.21739130434782608,6.466666666666667,11.0,0.0,1.0,0.7462759235517432
16.0,366.92297879217443,366.92297879217443,153.76883196672125,153.7688319667212,19.22110399584015,57,0.0,0.0,0.0,1.0,0.20833333333333334,6.466666666666667,11.0,0.0,1.0,0.7007188239864954
17.0,358.57485323352205,358.57485323352205,151.95557802066247,151.95557802066247,18.99444725258281,58,0.0,0.0,0.0,1.0,0.22666666666666666,7.294117647058823,13.0,0.0,1.0,0.6947572097346865
18.0,12.756097196728195,12.756097196728195,155.33534175274664,155.33534175274664,19.41691771909333,59,0.0,0.0,0.0,1.0,0.2236842105263158,7.294117647058823,13.0,0.0,1.0,0.729493718832817
19.0,133.764927064473,133.764927064473,156.73105840839733,156.73105840839733,19.591382301049666,62,0.0,0.0,0.0,1.0,0.225,7.333333333333333,13.0,0.0,1.0,0.708098484855345
20.0,819.0080359673294,819.0080359673294,163.8421340145222,163.8421340145222,20.480266751815275,65,0.0,0.0,0.0,1.0,0.21686746987951808,7.333333333333333,13.0,0.0,1.0,0.7029233025027152
21.0,1648.676779259301,1648.676779259301,154.1415360496334,154.14153604963343,19.26769200620418,71,0.0,0.0,0.0,1.0,0.2111111111111111,7.894736842105263,15.0,0.0,1.0,0.7190647262471818
22.0,94.1885758203467,94.1885758203467,154.06236723576373,154.06236723576373,19.257795904470466,71,0.0,0.0,0.0,1.0,0.21978021978021978,8.65,18.0,0.0,1.0,0.7329412236553583
23.0,791.3646043485414,791.3646043485414,155.29909689695575,155.29909689695572,19.412387112119465,74,0.0,0.0,0.0,1.0,0.22105263157894736,9.142857142857142,19.0,0.0,1.0,0.7076163644252881
24.0,669.22738650733,669.22738650733,154.4692903451346,154.46929034513457,19.30866129314182,75,0.0,0.0,0.0,1.0,0.23469387755102042,10.217391304347826,22.0,0.0,1.0,0.7099934978933744
25.0,308.48597701587244,308.48597701587244,155.76482784152827,155.76482784152827,19.470603480191034,75,0.0,0.0,0.0,1.0,0.25742574257425743,11.153846153846153,23.0,0.0,1.0,0.6979925190153369
26.0,566.5437784194952,566.5437784194952,160.06832944844,160.06832944844,20.008541181055,76,0.0,0.0,0.0,1.0,0.2621359223300971,11.25925925925926,23.0,0.0,1.0,0.6796568100883205
