time,offered_load_mbps,accepted_load_mbps,capacity_sum_mbps,goodput_sum_mbps,served_step_mb,queue_sum,blocked_rate,blocked_queue_cap_rate,blocked_timeout_rate,acceptance_rate,service_rate,mean_served_delay_s,p95_served_delay_s,mean_timeout_delay_s,utilization,fairness
0.0,594.8771064924482,594.8771064924482,85.39055364342754,85.39055364342754,10.673819205428442,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28125,0.9877331905282554
1.0,218.69105492240084,218.69105492240084,135.54553382424697,119.09802241481442,14.887252801851803,4,0.0,0.0,0.0,1.0,0.2,1.0,1.0,0.0,0.46875,0.9876433792061148
2.0,649.6457038870027,649.6457038870027,192.49091271686535,192.49091271686535,24.06136408960817,10,0.0,0.0,0.0,1.0,0.09090909090909091,1.0,1.0,0.0,0.75,0.9830725941199031
3.0,1063.9413918211571,1063.9413918211571,247.8882348450577,244.54892863584615,30.56861607948077,15,0.0,0.0,0.0,1.0,0.11764705882352941,1.0,1.0,0.0,1.0,0.9696861694832085
4.0,377.74252140160706,377.74252140160706,250.207637474744,250.207637474744,31.275954684343,17,0.0,0.0,0.0,1.0,0.10526315789473684,1.0,1.0,0.0,1.0,0.9787351334920305
5.0,0.0,0.0,250.20675799477695,189.02904301984574,23.628630377480718,12,0.0,0.0,0.0,1.0,0.3684210526315789,3.2857142857142856,6.0,0.0,1.0,0.9783981391297322
6.0,411.5588377520399,161.96411477348008,210.67347060364597,210.67347060364597,26.334183825455746,14,0.045454545454545456,0.045454545454545456,0.0,0.9545454545454546,0.3181818181818182,3.2857142857142856,6.0,0.0,0.84375,0.9768940155722319
7.0,1162.2704475660719,1162.2704475660719,234.82233509104063,234.8223350910406,29.352791886380075,19,0.037037037037037035,0.037037037037037035,0.0,0.9629629629629629,0.25925925925925924,3.2857142857142856,6.0,0.0,1.0,0.9752420858579762
8.0,481.08225344519826,481.08225344519826,232.6448931792011,232.6448931792011,29.080611647400136,21,0.03333333333333333,0.03333333333333333,0.0,0.9666666666666667,0.26666666666666666,4.0,9.0,0.0,1.0,0.9715727051181962
9.0,686.0230711936568,686.0230711936568,239.68758247836632,239.68758247836632,29.96094780979579,26,0.027777777777777776,0.027777777777777776,0.0,0.9722222222222222,0.25,3.7777777777777777,9.0,0.0,1.0,0.9727902268173282
10.0,2196.37161692506,2196.37161692506,233.3317754612301,233.3317754612301,29.166471932653764,28,0.024390243902439025,0.024390243902439025,0.0,0.975609756097561,0.2926829268292683,4.166666666666667,9.0,0.0,1.0,0.9587612870357864
11.0,401.417916751013,401.417916751013,242.05595453469866,242.05595453469863,30.25699431683733,29,0.022727272727272728,0.022727272727272728,0.0,0.9772727272727273,0.3181818181818182,4.857142857142857,9.0,0.0,1.0,0.9798145644744971
12.0,3456.9294055870328,3296.213153461456,243.9565603036347,243.95656030363472,30.49457003795434,30,0.04,0.04,0.0,0.96,0.36,5.5,12.0,0.0,1.0,0.9724244544004191
13.0,1045.2957374146588,1045.2957374146588,243.85605162569547,243.85605162569544,30.48200645321193,32,0.03773584905660377,0.03773584905660377,0.0,0.9622641509433962,0.3584905660377358,5.7894736842105265,12.0,0.0,1.0,0.9697129753298098
14.0,1335.2656218628467,391.5199088495238,237.00097003823376,237.00097003823376,29.62512125477922,33,0.05454545454545454,0.05454545454545454,0.0,0.9454545454545454,0.34545454545454546,5.7894736842105265,12.0,0.0,1.0,0.9809436495612749
15.0,206.51473565235122,206.51473565235122,237.05770746308846,237.05770746308843,29.632213432886054,34,0.05172413793103448,0.05172413793103448,0.0,0.9482758620689655,0.3620689655172414,6.238095238095238,12.0,0.0,1.0,0.9465818488604667
16.0,1144.0532801687077,964.7776866483459,238.77586383150626,238.77586383150629,29.846982978938286,37,0.078125,0.078125,0.0,0.921875,0.34375,6.318181818181818,12.0,0.0,1.0,0.9572381703978659
17.0,301.4923531262201,301.4923531262201,237.50009825327498,237.50009825327496,29.68751228165937,41,0.07246376811594203,0.07246376811594203,0.0,0.927536231884058,0.3333333333333333,6.173913043478261,12.0,0.0,1.0,0.9599778265746183
18.0,408.9624777428418,408.9624777428418,235.07855876765097,235.07855876765097,29.384819845956372,42,0.06944444444444445,0.06944444444444445,0.0,0.9305555555555556,0.3472222222222222,6.4,12.0,0.0,1.0,0.9737497287045689
19.0,907.1521103533767,656.1569993209597,234.0442394913162,234.04423949131623,29.25552993641453,44,0.09090909090909091,0.09090909090909091,0.0,0.9090909090909091,0.33766233766233766,6.653846153846154,13.0,0.0,1.0,0.9697445797979795
20.0,722.3156032900532,431.57525051981196,234.66194490716248,234.66194490716248,29.33274311339531,46,0.1111111111111111,0.1111111111111111,0.0,0.8888888888888888,0.32098765432098764,6.653846153846154,13.0,0.0,1.0,0.9595899904829066
21.0,306.7750005421573,175.40928047751174,234.60614167188345,234.60614167188342,29.325767708985428,47,0.11904761904761904,0.11904761904761904,0.0,0.8809523809523809,0.32142857142857145,6.7407407407407405,13.0,0.0,1.0,0.9591658650123327
22.0,934.1201081939319,634.3343459988854,234.53510578255504,234.53510578255504,29.31688822281938,46,0.13793103448275862,0.12643678160919541,0.011494252873563218,0.8735632183908046,0.3333333333333333,7.206896551724138,14.0,20.0,1.0,0.9587494896579685
23.0,536.9939701218672,536.9939701218672,241.50704123773968,241.5070412377397,30.188380154717464,47,0.15384615384615385,0.12087912087912088,0.03296703296703297,0.8791208791208791,0.32967032967032966,7.5,16.0,20.0,1.0,0.9717828454666957
24.0,727.712345280504,727.712345280504,237.80172266200043,237.80172266200046,29.725215332750057,50,0.15463917525773196,0.1134020618556701,0.041237113402061855,0.8865979381443299,0.32989690721649484,7.875,16.0,20.0,1.0,0.9587011674476817
