time,offered_load_mbps,accepted_load_mbps,capacity_sum_mbps,goodput_sum_mbps,served_step_mb,queue_sum,blocked_rate,blocked_queue_cap_rate,blocked_timeout_rate,acceptance_rate,service_rate,mean_served_delay_s,p95_served_delay_s,mean_timeout_delay_s,utilization,fairness
0.0,394.2748215709824,394.2748215709824,104.40557231548685,104.40557231548686,13.050696539435858,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.9827278228801297
1.0,442.6050181671792,442.6050181671792,179.3535109024843,171.90424895818012,21.488031119772515,6,0.0,0.0,0.0,1.0,0.14285714285714285,2.0,2.0,0.0,0.875,0.9826789694387204
2.0,744.1623543507533,744.1623543507533,196.61767639626228,184.36835055461282,23.046043819326602,12,0.0,0.0,0.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,0.9614489767506936
3.0,517.0985944270161,517.0985944270161,194.8824808157013,194.5464250853586,24.318303135669826,14,0.0,0.0,0.0,1.0,0.17647058823529413,2.0,2.0,0.0,1.0,0.9830120181849755
4.0,1347.47144242252,1347.47144242252,196.53891286972086,191.4264497554573,23.928306219432162,16,0.0,0.0,0.0,1.0,0.23809523809523808,2.8,5.0,0.0,1.0,0.9686792229969171
5.0,877.7386923490957,877.7386923490957,192.21866379171175,180.12842503650697,22.51605312956337,16,0.0,0.0,0.0,1.0,0.36,3.3333333333333335,6.0,0.0,1.0,0.9612743414443822
6.0,975.8556499969808,975.8556499969808,198.01194057025782,198.0119405702578,24.751492571282224,21,0.0,0.0,0.0,1.0,0.3,3.3333333333333335,6.0,0.0,1.0,0.978357320604073
7.0,995.8278147664174,995.8278147664174,189.0600738091498,189.06007380914977,23.63250922614372,27,0.0,0.0,0.0,1.0,0.25,3.3333333333333335,6.0,0.0,1.0,0.970735069731836
8.0,143.56937873795493,143.56937873795493,186.27264234165878,186.2726423416588,23.28408029270735,28,0.0,0.0,0.0,1.0,0.2631578947368421,3.9,9.0,0.0,1.0,0.982505659950714
9.0,986.2798662865638,986.2798662865638,186.301044925412,179.9470824505217,22.49338530631521,28,0.0,0.0,0.0,1.0,0.28205128205128205,3.909090909090909,9.0,0.0,1.0,0.9833227524427803
10.0,96.01698427067174,96.01698427067174,190.34383444976902,190.34383444976902,23.792979306221127,29,0.0,0.0,0.0,1.0,0.275,3.909090909090909,9.0,0.0,1.0,0.9821426670282284
11.0,624.8794508984234,624.8794508984234,182.46092236842247,178.95573182752045,22.369466478440057,32,0.0,0.0,0.0,1.0,0.30434782608695654,4.285714285714286,9.0,0.0,1.0,0.9871259295665522
12.0,724.6588860305764,724.6588860305764,182.57580973965355,174.66839202139667,21.833549002674584,35,0.0,0.0,0.0,1.0,0.3,4.333333333333333,9.0,0.0,1.0,0.9866137187705947
13.0,1396.4469084868347,1396.4469084868347,179.138220582673,179.13822058267297,22.39227757283412,36,0.0,0.0,0.0,1.0,0.3333333333333333,5.166666666666667,12.0,0.0,1.0,0.9746413060600821
14.0,500.3446920229554,500.3446920229554,180.65297924117107,171.4328955257817,21.429111940722713,38,0.0,0.0,0.0,1.0,0.3333333333333333,5.0,12.0,0.0,1.0,0.9551757533235681
15.0,1489.8498584119234,1452.6826949079752,185.1523703760722,185.1523703760722,23.144046297009027,44,0.015384615384615385,0.015384615384615385,0.0,0.9846153846153847,0.3076923076923077,5.35,12.0,0.0,1.0,0.9613024639328895
16.0,130.2807385216565,130.2807385216565,184.96998677568948,184.96998677568948,23.121248346961185,45,0.014925373134328358,0.014925373134328358,0.0,0.9850746268656716,0.31343283582089554,5.809523809523809,13.0,0.0,1.0,0.9640063400696657
17.0,1290.6312998090864,1042.6254305347002,184.8850570862753,184.88505708627528,23.11063213578441,51,0.02702702702702703,0.02702702702702703,0.0,0.972972972972973,0.28378378378378377,5.809523809523809,13.0,0.0,1.0,0.9653541594202854
18.0,1300.271093488942,236.5342022843178,181.58115705974078,181.58115705974075,22.697644632467593,50,0.06329113924050633,0.06329113924050633,0.0,0.9367088607594937,0.3037974683544304,6.583333333333333,15.0,0.0,1.0,0.9796334432460655
19.0,423.7050328692103,241.56974049476588,178.89389553167828,178.89389553167823,22.361736941459778,52,0.07317073170731707,0.07317073170731707,0.0,0.926829268292683,0.2926829268292683,6.583333333333333,15.0,0.0,1.0,0.9857377154940962
20.0,1584.095796372983,1333.2801414259102,172.77742349728632,163.89040122907238,20.486300153634048,54,0.07954545454545454,0.07954545454545454,0.0,0.9204545454545454,0.3068181818181818,7.074074074074074,16.0,0.0,1.0,0.9856317285728462
21.0,1449.401930667198,1082.0259680449547,177.82332729246113,165.2102599647297,20.65128249559121,58,0.09375,0.09375,0.0,0.90625,0.3020833333333333,7.137931034482759,16.0,0.0,1.0,0.9797643103661219
22.0,584.127188500026,142.34174641320874,177.60957367526385,177.60957367526382,22.201196709407977,57,0.12,0.11,0.01,0.89,0.31,7.483870967741935,16.0,20.0,1.0,0.9777223788859245
23.0,553.0404009436322,280.587989447886,177.53574362116933,177.5357436211693,22.191967952646163,56,0.13725490196078433,0.11764705882352941,0.0196078431372549,0.8823529411764706,0.3137254901960784,7.625,16.0,20.0,1.0,0.9792212612864245
24.0,241.52667316039486,200.083053015667,175.1737324538711,175.17373245387108,21.896716556733885,56,0.1619047619047619,0.12380952380952381,0.0380952380952381,0.8761904761904762,0.3047619047619048,7.625,16.0,20.0,1.0,0.9811021370013163
25.0,556.7261036868618,456.02030975316194,175.37190816242756,175.37190816242753,21.92148852030344,56,0.18518518518518517,0.12962962962962962,0.05555555555555555,0.8703703703703703,0.2962962962962963,7.625,16.0,20.0,1.0,0.9713620657891636
26.0,1145.801011514861,815.6596984261553,174.3828088505623,167.6209912713557,20.952623908919463,55,0.21238938053097345,0.13274336283185842,0.07964601769911504,0.8672566371681416,0.3008849557522124,7.911764705882353,16.0,20.0,1.0,0.9688055828931135
27.0,387.25901317529485,387.25901317529485,176.76001359607278,169.42535473934433,21.17816934241804,52,0.2413793103448276,0.12931034482758622,0.11206896551724138,0.8706896551724138,0.3103448275862069,7.861111111111111,16.0,20.0,1.0,0.9732373240669279
28.0,410.49324839868086,410.49324839868086,178.73101860716383,178.73101860716383,22.34137732589548,55,0.24166666666666667,0.125,0.11666666666666667,0.875,0.3,7.861111111111111,16.0,20.0,1.0,0.9759904660502041
29.0,1282.3006371155097,1282.3006371155097,178.82243960529917,178.82243960529914,22.352804950662392,57,0.24390243902439024,0.12195121951219512,0.12195121951219512,0.8780487804878049,0.2926829268292683,7.861111111111111,16.0,20.0,1.0,0.9754432458635262
30.0,370.83573863963306,65.12965828675769,178.90464098314447,178.90464098314445,22.363080122893056,57,0.25396825396825395,0.12698412698412698,0.12698412698412698,0.873015873015873,0.29365079365079366,8.18918918918919,20.0,20.0,1.0,0.9748557667849823
31.0,926.9594014490947,782.0394105105939,178.8086866878966,178.8086866878966,22.351085835987075,62,0.26119402985074625,0.12686567164179105,0.13432835820895522,0.8731343283582089,0.27611940298507465,8.18918918918919,20.0,20.0,1.0,0.9523354963881898
32.0,74.64803888286158,0.0,179.0405928753511,179.0405928753511,22.38007410941889,58,0.28888888888888886,0.13333333333333333,0.15555555555555556,0.8666666666666667,0.2814814814814815,8.447368421052632,20.0,20.0,1.0,0.9501710587839245
33.0,334.99512250352245,334.99512250352245,179.19020681954493,179.1902068195449,22.398775852443112,56,0.3014705882352941,0.1323529411764706,0.16911764705882354,0.8676470588235294,0.2867647058823529,8.307692307692308,20.0,20.0,1.0,0.948497174091983
34.0,334.4605579325356,120.86623682207787,179.12427812200843,179.1242781220084,22.39053476525105,55,0.3237410071942446,0.1366906474820144,0.18705035971223022,0.8633093525179856,0.2805755395683453,8.307692307692308,20.0,20.0,1.0,0.9481826458465306
35.0,489.82382069092677,346.2993945322419,178.38620620709096,178.38620620709096,22.29827577588637,50,0.36363636363636365,0.13986013986013987,0.22377622377622378,0.8601398601398601,0.2867132867132867,8.658536585365853,20.0,20.0,1.0,0.9320616399165529
36.0,987.5870284461448,987.5870284461448,173.05815915180392,173.05815915180386,21.632269893975483,51,0.36054421768707484,0.1360544217687075,0.22448979591836735,0.8639455782312925,0.2925170068027211,8.674418604651162,20.0,20.0,1.0,0.9358034297050586
37.0,644.2012181645558,644.2012181645558,173.8375465091745,173.8375465091745,21.729693313646813,50,0.38,0.13333333333333333,0.24666666666666667,0.8666666666666667,0.2866666666666667,8.674418604651162,20.0,20.0,1.0,0.92948806963539
38.0,1661.4281095158228,1661.4281095158228,174.65483681828132,174.65483681828127,21.83185460228516,55,0.3717948717948718,0.1282051282051282,0.24358974358974358,0.8717948717948718,0.27564102564102566,8.674418604651162,20.0,20.0,1.0,0.9227032629888732
39.0,561.1246772669783,561.1246772669783,174.7262600852251,174.72626008522505,21.84078251065313,54,0.3710691823899371,0.12578616352201258,0.24528301886792453,0.8742138364779874,0.2893081761006289,9.108695652173912,20.0,20.0,1.0,0.9217143460356435
40.0,1359.8342819486215,908.3550053819097,174.45668634339788,174.45668634339782,21.807085792924727,53,0.3902439024390244,0.12804878048780488,0.2621951219512195,0.8719512195121951,0.2865853658536585,9.148936170212766,20.0,20.0,1.0,0.9245630176182881
41.0,1083.3315235024863,1083.3315235024863,173.25192445785385,173.2519244578538,21.656490557231724,52,0.40828402366863903,0.1242603550295858,0.28402366863905326,0.8757396449704142,0.28402366863905326,9.208333333333334,20.0,20.0,1.0,0.9396651715954119
42.0,848.444548095565,805.7520101565976,172.16165583622836,172.16165583622833,21.520206979528542,56,0.4057142857142857,0.12571428571428572,0.28,0.8742857142857143,0.2742857142857143,9.208333333333334,20.0,20.0,1.0,0.9519539013095384
43.0,693.5041923123124,668.8789625502382,171.77745682747153,171.77745682747153,21.47218210343394,60,0.40331491712707185,0.1270718232044199,0.27624309392265195,0.8729281767955801,0.26519337016574585,9.208333333333334,20.0,20.0,1.0,0.9558028890473378
44.0,831.5868512278703,796.4381863243058,174.79881623247906,174.79881623247903,21.84985202905988,62,0.40540540540540543,0.12972972972972974,0.2756756756756757,0.8702702702702703,0.2594594594594595,9.208333333333334,20.0,20.0,1.0,0.9623095165545522
45.0,330.7713965004989,273.1748239163836,175.7030580764719,175.70305807647188,21.962882259558985,61,0.4148936170212766,0.13297872340425532,0.28191489361702127,0.8670212765957447,0.26063829787234044,9.142857142857142,20.0,20.0,1.0,0.9524961997390016
46.0,693.2362601104645,693.2362601104645,176.42194166531266,176.42194166531266,22.052742708164082,62,0.4166666666666667,0.13020833333333334,0.2864583333333333,0.8697916666666666,0.2604166666666667,9.28,20.0,20.0,1.0,0.9444766919253217
47.0,8.0,8.0,175.87601297213536,175.87601297213533,21.984501621516916,60,0.43005181347150256,0.12953367875647667,0.3005181347150259,0.8704663212435233,0.25906735751295334,9.28,20.0,20.0,1.0,0.9497512660381563
48.0,490.9043305689185,490.9043305689185,175.36721475208097,175.36721475208094,21.920901844010118,59,0.4365482233502538,0.12690355329949238,0.3096446700507614,0.8730964467005076,0.2639593908629442,9.25,20.0,20.0,1.0,0.9534936509040574
49.0,873.1911646568174,873.1911646568174,178.46529955075113,178.46529955075115,22.308162443843894,59,0.4427860696517413,0.12437810945273632,0.31840796019900497,0.8756218905472637,0.263681592039801,9.377358490566039,20.0,20.0,1.0,0.9651256747030248
50.0,461.90381111420015,379.7130172864897,174.69980237395743,174.6998023739574,21.837475296744675,60,0.43902439024390244,0.12682926829268293,0.3121951219512195,0.8731707317073171,0.2682926829268293,9.763636363636364,20.0,20.0,1.0,0.9568344147681426
51.0,0.0,0.0,174.6536032479663,174.65360324796626,21.831700405995782,57,0.45365853658536587,0.12682926829268293,0.32682926829268294,0.8731707317073171,0.2682926829268293,9.763636363636364,20.0,20.0,1.0,0.9567658898936333
52.0,106.44623974097058,73.37674522798089,174.82114237419853,174.82114237419853,21.852642796774816,57,0.45410628019323673,0.13043478260869565,0.32367149758454106,0.8695652173913043,0.27053140096618356,9.892857142857142,20.0,20.0,1.0,0.9552341802419784
53.0,519.1437519776528,519.1437519776528,172.92637474474262,172.9263747447426,21.615796843092824,59,0.4523809523809524,0.12857142857142856,0.3238095238095238,0.8714285714285714,0.26666666666666666,9.892857142857142,20.0,20.0,1.0,0.937345337366613
54.0,1133.5880684457068,238.75267887760015,172.9097292713924,172.90972927139234,21.613716158924042,60,0.45539906103286387,0.13145539906103287,0.323943661971831,0.8685446009389671,0.26291079812206575,9.892857142857142,20.0,20.0,1.0,0.9368696026212973
55.0,1107.5881833162657,1107.5881833162657,172.85911661206322,172.8591166120632,21.6073895765079,63,0.4541284403669725,0.12844036697247707,0.3256880733944954,0.8715596330275229,0.25688073394495414,9.892857142857142,20.0,20.0,1.0,0.9364322397589976
56.0,209.0837267650952,209.0837267650952,172.7830265911395,172.7830265911395,21.597878323892438,61,0.4636363636363636,0.12727272727272726,0.33636363636363636,0.8727272727272727,0.2590909090909091,9.947368421052632,20.0,20.0,1.0,0.9364270480448643
57.0,690.1183908832646,459.8522607383235,172.8530552042879,172.8530552042879,21.606631900535987,62,0.47577092511013214,0.13656387665198239,0.3392070484581498,0.8634361233480177,0.2511013215859031,9.947368421052632,20.0,20.0,1.0,0.935446995131155
58.0,334.27100679781023,295.68130243287055,172.71520111366848,172.71520111366846,21.589400139208557,59,0.49783549783549785,0.13852813852813853,0.3593073593073593,0.8614718614718615,0.24675324675324675,9.947368421052632,20.0,20.0,1.0,0.9360682468191472
59.0,531.7017789091763,326.06296034898526,173.37658706893885,173.37658706893882,21.672073383617352,58,0.5063829787234042,0.14042553191489363,0.3659574468085106,0.8595744680851064,0.24680851063829787,10.086206896551724,20.0,20.0,1.0,0.9289929376282574
60.0,475.13356519272435,475.13356519272435,173.54049836766862,173.54049836766862,21.692562295958577,59,0.5062761506276151,0.13807531380753138,0.3682008368200837,0.8619246861924686,0.24686192468619247,10.169491525423728,20.0,20.0,1.0,0.9259111339387441
61.0,186.99769871612483,186.99769871612483,172.19557974840984,172.1955797484098,21.524447468551227,57,0.5165289256198347,0.13636363636363635,0.38016528925619836,0.8636363636363636,0.24793388429752067,10.133333333333333,20.0,20.0,1.0,0.9411057401974938
62.0,1122.480639759567,1122.480639759567,170.56541039869046,170.5654103986904,21.3206762998363,57,0.5222672064777328,0.13360323886639677,0.38866396761133604,0.8663967611336032,0.24696356275303644,10.295081967213115,20.0,20.0,1.0,0.9607895336423494
63.0,687.2048164821834,687.2048164821834,171.18684306099647,171.1868430609964,21.39835538262455,58,0.5277777777777778,0.13095238095238096,0.3968253968253968,0.8690476190476191,0.24206349206349206,10.295081967213115,20.0,20.0,1.0,0.9553363569959463
64.0,426.93356894520895,263.423964431213,172.8885380828169,172.88853808281684,21.611067260352105,58,0.53515625,0.13671875,0.3984375,0.86328125,0.23828125,10.295081967213115,20.0,20.0,1.0,0.9374016685376988
65.0,1080.2660176200693,988.3992909625367,173.16900329563936,173.1690032956393,21.646125411954912,59,0.5363984674329502,0.13793103448275862,0.39846743295019155,0.8620689655172413,0.23754789272030652,10.435483870967742,20.0,20.0,1.0,0.9349099424453485
66.0,1261.8765369894022,1183.2302124309106,171.09540871484262,171.0954087148426,21.386926089355324,61,0.5373134328358209,0.13805970149253732,0.39925373134328357,0.8619402985074627,0.23507462686567165,10.412698412698413,20.0,20.0,1.0,0.9500378384703286
67.0,942.5184160679321,462.9291287778575,171.82948061939638,170.119134610481,21.264891826310127,62,0.5347985347985348,0.14285714285714285,0.39194139194139194,0.8571428571428571,0.23809523809523808,10.569230769230769,20.0,20.0,1.0,0.9428717659097162
68.0,978.5443458548539,662.8372416918195,174.36288858160634,174.36288858160634,21.795361072700793,60,0.5415162454873647,0.1444043321299639,0.3971119133574007,0.855595667870036,0.24187725631768953,10.671641791044776,20.0,20.0,1.0,0.9604905941002038
69.0,1758.8617570735505,1758.8617570735505,170.88038097821772,170.8803809782177,21.36004762227721,63,0.5384615384615384,0.13986013986013987,0.3986013986013986,0.8601398601398601,0.24125874125874125,10.72463768115942,20.0,20.0,1.0,0.9511683914884144
70.0,266.3206975829698,144.4076512636844,170.74773111897676,170.7477311189767,21.343466389872088,63,0.5432525951557093,0.14186851211072665,0.4013840830449827,0.8581314878892734,0.23875432525951557,10.72463768115942,20.0,20.0,1.0,0.952405754778952
71.0,446.9747866141516,446.9747866141516,171.11603666335307,171.11603666335301,21.389504582919127,66,0.5358361774744027,0.13993174061433447,0.39590443686006827,0.8600682593856656,0.23890784982935154,10.814285714285715,20.0,20.0,1.0,0.9465183531469145
72.0,1406.253321433611,1387.6624146977513,170.94464167396038,170.94464167396032,21.36808020924504,70,0.5317725752508361,0.14046822742474915,0.391304347826087,0.8595317725752508,0.23411371237458195,10.814285714285715,20.0,20.0,1.0,0.9473993373637304
73.0,502.13894790199845,269.46392875868645,170.8258760665372,170.82587606653718,21.353234508317147,69,0.5397350993377483,0.1456953642384106,0.39403973509933776,0.8543046357615894,0.23178807947019867,10.814285714285715,20.0,20.0,1.0,0.9476449449762869
74.0,938.1800682125122,773.1911821436867,170.700164374304,170.70016437430397,21.337520546787996,70,0.5374592833876222,0.1465798045602606,0.39087947882736157,0.8534201954397395,0.23452768729641693,10.916666666666666,20.0,20.0,1.0,0.9478339272369543
75.0,514.8664713015199,421.55935322333505,170.56821197268619,170.56821197268619,21.321026496585773,69,0.5466237942122186,0.15112540192926044,0.3954983922829582,0.8488745980707395,0.2315112540192926,10.916666666666666,20.0,20.0,1.0,0.9479690508462376
