time,offered_load_mbps,accepted_load_mbps,capacity_sum_mbps,goodput_sum_mbps,served_step_mb,queue_sum,blocked_rate,blocked_queue_cap_rate,blocked_timeout_rate,acceptance_rate,service_rate,mean_served_delay_s,p95_served_delay_s,mean_timeout_delay_s,utilization,fairness
0.0,394.2748215709824,394.2748215709824,101.19401141373666,101.19401141373666,12.649251426717083,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.9726914741547092
1.0,442.6050181671792,442.6050181671792,169.62199068348758,163.6147362664288,20.4518420333036,6,0.0,0.0,0.0,1.0,0.14285714285714285,2.0,2.0,0.0,0.875,0.9761939712424057
2.0,744.1623543507533,744.1623543507533,173.7977950870878,161.54846924543835,20.193558655679794,12,0.0,0.0,0.0,1.0,0.14285714285714285,2.0,2.0,0.0,1.0,0.9647545552221087
3.0,517.0985944270161,517.0985944270161,172.79387440914158,172.79387440914158,21.599234301142697,15,0.0,0.0,0.0,1.0,0.11764705882352941,2.0,2.0,0.0,1.0,0.95695369674909
4.0,1347.47144242252,1347.47144242252,169.060415020903,156.17546683722423,19.52193335465303,17,0.0,0.0,0.0,1.0,0.19047619047619047,3.0,5.0,0.0,1.0,0.9651522123222245
5.0,877.7386923490957,877.7386923490957,171.23552313781394,171.2355231378139,21.40444039222674,19,0.0,0.0,0.0,1.0,0.24,3.3333333333333335,5.0,0.0,1.0,0.9316735052425055
6.0,975.8556499969808,975.8556499969808,160.09960315459256,155.31101837848107,19.413877297310133,22,0.0,0.0,0.0,1.0,0.26666666666666666,3.5,5.0,0.0,1.0,0.9668779516123153
7.0,995.8278147664174,995.8278147664174,154.66750237006144,152.8236955459314,19.102961943241425,27,0.0,0.0,0.0,1.0,0.25,4.0,8.0,0.0,1.0,0.941735324584296
8.0,143.56937873795493,143.56937873795493,156.2586653883584,156.2586653883584,19.5323331735448,29,0.0,0.0,0.0,1.0,0.23684210526315788,4.0,8.0,0.0,1.0,0.9495754396855801
9.0,986.2798662865638,986.2798662865638,156.3107821462755,156.3107821462755,19.538847768284437,29,0.0,0.0,0.0,1.0,0.2564102564102564,4.6,10.0,0.0,1.0,0.950093073274686
10.0,96.01698427067174,96.01698427067174,156.2009355323284,156.2009355323284,19.52511694154105,30,0.0,0.0,0.0,1.0,0.25,4.6,10.0,0.0,1.0,0.9527278098353305
11.0,624.8794508984234,624.8794508984234,149.23082896531858,149.23082896531858,18.653853620664822,36,0.0,0.0,0.0,1.0,0.21739130434782608,4.6,10.0,0.0,1.0,0.9676159651320219
12.0,724.6588860305764,724.6588860305764,149.77178548248966,149.77178548248966,18.721473185311208,38,0.0,0.0,0.0,1.0,0.24,5.416666666666667,10.0,0.0,1.0,0.9611187061729745
13.0,1396.4469084868347,1396.4469084868347,141.98229819149904,137.22941580968148,17.153676976210186,39,0.0,0.0,0.0,1.0,0.2777777777777778,5.133333333333334,10.0,0.0,1.0,0.9806699743478626
14.0,500.3446920229554,500.3446920229554,147.3159546700669,147.10131474598433,18.38766434324804,39,0.0,0.0,0.0,1.0,0.3157894736842105,5.611111111111111,12.0,0.0,1.0,0.9274594619351698
15.0,1489.8498584119234,1452.6826949079752,155.67636722941407,155.67636722941407,19.45954590367676,45,0.015384615384615385,0.015384615384615385,0.0,0.9846153846153847,0.2923076923076923,6.052631578947368,14.0,0.0,1.0,0.9362007440083899
16.0,130.2807385216565,130.2807385216565,155.67724637191262,155.67724637191262,19.459655796489077,46,0.014925373134328358,0.014925373134328358,0.0,0.9850746268656716,0.29850746268656714,6.4,14.0,0.0,1.0,0.9361776083408309
17.0,1290.6312998090864,1042.6254305347002,155.02979192087238,155.02979192087238,19.378723990109048,52,0.02702702702702703,0.02702702702702703,0.0,0.972972972972973,0.2702702702702703,6.4,14.0,0.0,1.0,0.9422170971176534
18.0,1300.271093488942,236.5342022843178,152.37375697573532,152.37375697573532,19.046719621966915,53,0.06329113924050633,0.06329113924050633,0.0,0.9367088607594937,0.26582278481012656,6.904761904761905,14.0,0.0,1.0,0.9318126177158644
19.0,423.7050328692103,241.56974049476588,144.16801281312647,144.16801281312647,18.02100160164081,55,0.07317073170731707,0.07317073170731707,0.0,0.926829268292683,0.25609756097560976,6.904761904761905,14.0,0.0,1.0,0.9740216712790638
20.0,1584.095796372983,1333.2801414259102,138.21849865761016,137.3160349224121,17.16450436530151,58,0.07954545454545454,0.07954545454545454,0.0,0.9204545454545454,0.26136363636363635,7.173913043478261,17.0,0.0,1.0,0.9427255637784873
21.0,1449.401930667198,1039.7211029014347,143.32763129442088,143.32763129442088,17.91595391180261,63,0.10416666666666667,0.10416666666666667,0.0,0.8958333333333334,0.23958333333333334,7.173913043478261,17.0,0.0,1.0,0.958822429466798
22.0,584.127188500026,142.34174641320874,137.51808827951922,137.51808827951922,17.189761034939902,61,0.13,0.12,0.01,0.88,0.26,8.076923076923077,18.0,20.0,1.0,0.9540165460823967
23.0,553.0404009436322,553.0404009436322,138.737373477195,138.737373477195,17.342171684649376,61,0.14705882352941177,0.11764705882352941,0.029411764705882353,0.8823529411764706,0.2549019607843137,8.076923076923077,18.0,20.0,1.0,0.9408861252666286
24.0,241.52667316039486,200.083053015667,132.6784064329192,132.67840643291916,16.584800804114895,60,0.17142857142857143,0.12380952380952381,0.047619047619047616,0.8761904761904762,0.2571428571428571,8.037037037037036,18.0,20.0,1.0,0.9233485639229624
25.0,556.7261036868618,456.02030975316194,132.7303560165313,132.73035601653126,16.591294502066408,59,0.2037037037037037,0.12962962962962962,0.07407407407407407,0.8703703703703703,0.25,8.037037037037036,18.0,20.0,1.0,0.923551067233814
26.0,1145.801011514861,815.6596984261553,129.7900921044541,129.79009210445403,16.223761513056754,59,0.23008849557522124,0.13274336283185842,0.09734513274336283,0.8672566371681416,0.24778761061946902,8.321428571428571,18.0,20.0,1.0,0.9317685436371035
27.0,387.25901317529485,387.25901317529485,129.82112146468657,124.01715849947648,15.50214481243456,55,0.2672413793103448,0.12931034482758622,0.13793103448275862,0.8706896551724138,0.25862068965517243,8.2,18.0,20.0,1.0,0.930924562426682
28.0,410.49324839868086,410.49324839868086,140.26655889589892,140.2665588958989,17.533319861987362,57,0.26666666666666666,0.125,0.14166666666666666,0.875,0.25833333333333336,8.35483870967742,17.0,20.0,1.0,0.9423201336307708
29.0,1282.3006371155097,1282.3006371155097,140.42179582486904,140.42179582486904,17.55272447810863,59,0.2682926829268293,0.12195121951219512,0.14634146341463414,0.8780487804878049,0.25203252032520324,8.35483870967742,17.0,20.0,1.0,0.942142973381227
30.0,370.83573863963306,65.12965828675769,140.56825637805497,140.56825637805497,17.57103204725687,59,0.2777777777777778,0.12698412698412698,0.15079365079365079,0.873015873015873,0.25396825396825395,8.6875,18.0,20.0,1.0,0.9419029049757064
31.0,926.9594014490947,782.0394105105939,136.96533924637163,133.54565457660772,16.693206822075965,62,0.291044776119403,0.12686567164179105,0.16417910447761194,0.8731343283582089,0.2462686567164179,8.727272727272727,18.0,20.0,1.0,0.9400469275574644
32.0,74.64803888286158,0.0,141.069669716967,141.069669716967,17.633708714620877,59,0.31851851851851853,0.13333333333333333,0.18518518518518517,0.8666666666666667,0.24444444444444444,8.727272727272727,18.0,20.0,1.0,0.9425550717931926
33.0,334.99512250352245,334.99512250352245,141.0550790981792,141.0550790981792,17.6318848872724,57,0.33088235294117646,0.1323529411764706,0.19852941176470587,0.8676470588235294,0.25,9.029411764705882,18.0,20.0,1.0,0.9408906550819692
